HeadPitch,HeadYaw,LAnklePitch,LAnkleRoll,LElbowRoll,LElbowYaw,LHand,LHipPitch,LHipRoll,LHipYawPitch,LKneePitch,LShoulderPitch,LShoulderRoll,LWristYaw,RAnklePitch,RAnkleRoll,RElbowRoll,RElbowYaw,RHand,RHipPitch,RHipRoll,RHipYawPitch,RKneePitch,RShoulderPitch,RShoulderRoll,RWristYaw
-0.165532,-0.00219187,0.0850586,-0.12455,-0.397585,-1.1873,0.93,0.129674,0.0992323,-0.165532,-0.0807958,-1.56929,0.143003,0.0935568,0.0850586,0.12455,0.420668,1.18292,0.91,0.129674,-0.0992323,-0.165532,-0.0861172,-1.56039,-0.144364,0.0935568
-0.165532,-0.00219187,0.0850586,-0.0517276,-1.54143,-2.07645,0.31,0.476211,0.238722,-0.776136,-0.0923279,0.38082,1.32367,1.82356,0.0846025,-0.214535,1.54188,1.18681,0.35,0.298451,-0.00698132,-0.776136,0.105342,-0.254723,-1.32473,-1.82245
-0.165532,-0.00219187,0.0850586,-0.121933,-0.401885,-1.18639,0.303077,0.129286,0.0912136,-0.165532,-0.0890662,1.51116,1.32306,0.107346,0.0945392,0.129929,0.039985,1.18038,0.299406,0.132625,-0.78828,-0.17,-0.0892492,1.51003,-1.32306,0.0993301
-0.165532,-0.00219187,0.0850586,-0.0483081,-0.412241,-1.18214,0.309822,0.483456,0.243937,-0.786812,-0.0909756,1.50831,1.32514,0.115164,0.0802616,-0.212589,0.633811,1.18513,0.311162,0.483456,-0.579048,-0.786812,1.47902,0.496066,-0.0458685,0.0970905
-0.165532,-0.00219187,0.0850586,-0.12455,-1.53818,-1.19714,0.303077,-1.5277,0.0894456,-0.165532,1.16064,1.4976,0.168207,0.106288,-0.342085,0.0558505,1.53752,1.19117,0.302573,0.483456,-0.115192,-0.165532,0.534071,1.50913,-0.163265,0.0935568
-0.165532,-0.00219187,0.0850586,-0.12455,-1.17522,-1.18756,0.993769,0.129674,0.405714,-0.165532,-0.0807958,-0.948415,1.32543,0.153662,0.0850586,0.0977384,1.49828,1.18292,0.88,-0.0174533,-0.344476,-0.165532,1.32151,2.08234,-1.32393,0.0935568
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,